Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0,739,790,770,797,781,786,788,789,797,809,784.6,19.0624704
0.05,669,696,677,681,680,677,679,675,674,679,678.7,7.008724722
0.1,628,612,606,584,597,606,602,622,627,623,610.7,14.39945987
0.15,536,537,539,530,522,525,522,536,510,516,527.3,9.87758405
0.2,477,465,443,489,460,469,466,467,469,474,467.9,11.84576811
0.25,389,401,452,427,386,422,391,414,415,402,409.9,20.44205904
0.3,345,342,313,325,345,385,346,348,345,352,344.6,18.53045541
0.35,274,215,308,294,289,289,293,294,284,297,283.7,25.68203003
0.4,210,239,229,216,224,221,243,234,284,222,232.2,20.84759512
0.45,175,184,189,183,193,190,186,186,190,190,186.6,5.125101625
0.5,143,145,139,152,160,146,139,143,142,156,146.5,7.168604389
0.55,93,95,111,102,89,104,114,103,97,103,101.1,7.795297728
0.6,61,76,66,57,74,73,74,72,70,75,69.8,6.425643072
0.65,36,40,47,45,41,40,33,31,45,34,39.2,5.533734925
0.7,12,17,10,21,6,16,13,20,24,35,17.4,8.221921916
0.75,-9,-10,-8,-6,-23,-4,-11,-4,-25,-5,-10.5,7.531415685
