Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0.15,1728,1733,1724,1719,1448,1803,1734,1779,1688,1707,1706.3,96.6759191
0.2,1180,1103,1174,1174,1187,1177,1194,1174,1168,1212,1174.3,28.15453388
0.25,906,872,887,891,901,907,918,886,834,870,887.2,24.16976992
0.3,628,611,512,556,602,608,623,613,614,613,598,36.01851376
0.35,461,472,476,471,604,452,501,464,473,430,480.4,47.0536337
0.4,330,326,329,331,329,330,329,328,335,341,330.8,4.263540521
0.45,245,246,238,243,244,245,242,226,240,295,246.4,18.04438971
0.5,144,103,180,163,162,166,170,164,175,171,159.8,22.14999373
0.55,105,104,105,103,124,146,115,96,94,82,107.4,17.70247942
0.6,55,38,32,108,39,25,18,63,43,71,49.2,26.4146424
0.65,6,-10,-16,8,7,65,29,18,12,3,12.2,22.50827009
0.7,-20,-13,-61,-24,-11,-52,-24,16,18,-32,-20.3,25.27647127
0.75,-115,-46,-43,-50,-39,-56,-59,-49,-47,-48,-55.2,21.78582618
