100/sec,10/sec,5/sec,1/sec,0/sec
95,11,5,2,0
102,17,5,0,4
101,9,2,1,2
87,15,4,0,1
90,8,8,3,0
81,15,6,0,0
87,11,2,0,4
92,17,1,0,1
95,10,3,2,0
84,9,7,2,1
86,11,2,1,3
93,11,7,1,0
87,12,2,0,1
108,5,4,0,0
87,12,5,0,4
103,9,3,1,1
103,8,9,0,2
93,13,5,1,0
92,14,5,2,1
97,7,7,0,1
100,11,6,0,2
84,8,2,1,0
101,15,4,5,1
87,8,4,0,1
95,12,7,1,1
93,17,5,1,1
99,7,4,0,1
92,10,2,3,2
80,11,4,1,1
92,15,6,4,1
112,13,6,0,2
110,12,5,0,2
103,10,4,2,1
82,15,6,0,2
109,9,6,1,1
71,13,5,1,0
81,15,7,3,1
87,12,4,1,2
76,18,2,0,2
86,15,6,2,2
97,8,8,1,1
100,8,4,0,1
103,10,2,1,0
89,9,4,2,1
88,15,5,1,0
105,12,3,2,0
86,9,5,1,0
89,13,7,2,0
85,8,6,0,0
89,14,5,2,0
89,11,5,1,1
114,8,4,1,0
100,14,6,1,0
88,13,7,0,0
98,5,10,0,0
97,8,5,2,0
96,11,8,1,2
103,8,6,0,0
107,3,4,1,2
96,9,3,2,0
96,16,2,1,2
71,10,8,2,1
100,10,4,1,2
105,15,5,3,0
77,16,4,2,0
79,10,7,1,1
93,14,6,2,0
72,15,4,0,0
93,14,6,0,0
104,12,7,0,0
106,10,4,0,1
83,12,3,2,1
84,13,6,2,1
91,16,4,1,0
110,12,5,2,0
83,8,12,0,1
103,13,3,1,1
98,14,4,2,2
95,12,6,0,1
93,11,5,0,0
113,19,4,1,0
97,14,2,3,2
92,11,4,0,0
104,11,3,2,0
112,9,7,2,1
89,12,6,0,2
107,9,5,0,0
80,12,5,1,0
83,6,5,3,0
96,15,5,2,1
84,9,5,0,0
97,15,8,2,1
111,10,4,1,1
109,13,6,1,1
87,14,6,0,0
76,14,6,3,1
77,11,5,1,2
90,13,3,0,1
98,10,6,2,1
92,10,6,1,3
